Property-type conflicts

Historical observations are preserved; reviewed canonical type prevails and multi-type is not inferred.

| Market | Property | Historical | Canonical | Decision |
| east-bay | 5500 boscell cmn | industrial, land | office | CANONICAL_TYPE_PREVAILS |
| east-bay | 5605 auto mall pkwy | retail | office | CANONICAL_TYPE_PREVAILS |
| east-bay | 6036 stevenson blvd | retail | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 21371 cabot blvd | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 3447 investment blvd | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 1400 mandela pkwy | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 2400 filbert st | industrial, land | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 2855 mandela pkwy | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 303 hegenberger rd | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 675 hegenberger rd | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 7677 oakport st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 8000 edgewater dr | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 8301 edgewater dr | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 8501 san leandro st | land | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 1050 1090 marina way s | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 1200 harbour way s | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 1400 harbour way s | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 5215 central ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 830 marina way s | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 1670 alvarado st | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 3018 alvarado st | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 321 davis st | office, retail | flex | CANONICAL_TYPE_PREVAILS |
| los-angeles-independent-cities | 5788 w adams blvd | office | retail | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 10420 bubb rd | office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 200 hamilton ave | retail | office | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 1580 1630 old oakland rd | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 1650 las plumas ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 350 w trimble rd | office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 1195 borregas ave | industrial | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 333 w maude ave | office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 380 n pastoria ave | industrial, land, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 400 w california ave | land, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 640 w california ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 650 vaqueros ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 678 w maude ave | office | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 730 n pastoria ave | industrial | flex | CANONICAL_TYPE_PREVAILS |
| san-jose-south-bay | 965 w maude ave | office | flex | CANONICAL_TYPE_PREVAILS |
