Mandatory deterministic sample review

Up to five deterministically ordered records per market/category. Verdicts are encoded in the machine artifact.

| Market | Category | Property | Municipality | Status | Verdict |
| east-bay | AUTO_PROMOTABLE_INTERNAL | 2226 pacific ave | Alameda | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_PROMOTABLE_INTERNAL | 2264 santa clara ave | Alameda | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_PROMOTABLE_INTERNAL | 2315 2323 central ave | Alameda | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_PROMOTABLE_INTERNAL | 1936 university ave | Berkeley | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_RECONCILE_QA | 2600 tenth st | Berkeley | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| east-bay | AUTO_RECONCILE_QA | 3000 colby st | Berkeley | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| east-bay | AUTO_RECONCILE_QA | 6633 telegraph ave | Berkeley | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| east-bay | GEOGRAPHY_CANDIDATE | 1 kaiser plz | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_REVIEWED |
| east-bay | REPRESENTATIVE_CANDIDATE | 1 kaiser plz | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_PROMOTED |
| east-bay | GEOGRAPHY_CANDIDATE | 1111 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_REVIEWED |
| east-bay | REPRESENTATIVE_CANDIDATE | 1111 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_PROMOTED |
| east-bay | GEOGRAPHY_CANDIDATE | 1221 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_REVIEWED |
| east-bay | REPRESENTATIVE_CANDIDATE | 1221 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_PROMOTED |
| east-bay | GEOGRAPHY_CANDIDATE | 1300 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_REVIEWED |
| east-bay | REPRESENTATIVE_CANDIDATE | 1300 broadway | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_PROMOTED |
| east-bay | GEOGRAPHY_CANDIDATE | 1300 clay st | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_REVIEWED |
| east-bay | REPRESENTATIVE_CANDIDATE | 1300 clay st | Oakland | CANONICAL_MATCH | CANDIDATE_ONLY_NOT_PROMOTED |
| kansas-city-mo-ks | AUTO_PROMOTABLE_INTERNAL | 107 w 9th st | Kansas City | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| kansas-city-mo-ks | AUTO_PROMOTABLE_INTERNAL | 1100 main st | Kansas City | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| kansas-city-mo-ks | AUTO_PROMOTABLE_INTERNAL | 1201 nw briarcliff pkwy | Kansas City | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| kansas-city-mo-ks | AUTO_PROMOTABLE_INTERNAL | 1828 walnut st | Kansas City | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| kansas-city-mo-ks | AUTO_PROMOTABLE_INTERNAL | 2300 main st | Kansas City | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| kansas-city-mo-ks | AUTO_RECONCILE_QA | 4600 madison | Kansas City | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| kansas-city-mo-ks | AUTO_RECONCILE_QA | 4801 main st | Kansas City | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| kansas-city-mo-ks | AUTO_RECONCILE_QA | 9393 w 110th st | Overland Park | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_RECONCILE_QA | 1045 american pacific dr | Henderson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_RECONCILE_QA | 1481 w warm springs rd | Henderson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_PROMOTABLE_INTERNAL | 170 s green valley pkwy | Henderson | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| las-vegas-clark-county | AUTO_RECONCILE_QA | 1701 n green valley pkwy | Henderson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_RECONCILE_QA | 1820 whitney mesa dr | Henderson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_RECONCILE_QA | 1860 whitney mesa dr | Henderson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| las-vegas-clark-county | AUTO_PROMOTABLE_INTERNAL | 2850 w horizon ridge pkwy | Henderson | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| las-vegas-clark-county | AUTO_PROMOTABLE_INTERNAL | 871 coronado center dr | Henderson | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| las-vegas-clark-county | MUNICIPALITY_CONFLICT | 1045 palms airport dr | Las Vegas | HUMAN_REVIEW_REQUIRED | BLOCKED_PENDING_AUTHORITATIVE_MUNICIPALITY |
| las-vegas-clark-county | MUNICIPALITY_CONFLICT | 1075 e twain ave | Las Vegas | HUMAN_REVIEW_REQUIRED | BLOCKED_PENDING_AUTHORITATIVE_MUNICIPALITY |
| las-vegas-clark-county | AUTO_PROMOTABLE_INTERNAL | 10845 griffith peak dr | Las Vegas | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| las-vegas-clark-county | MUNICIPALITY_CONFLICT | 1085 palms airport dr | Las Vegas | HUMAN_REVIEW_REQUIRED | BLOCKED_PENDING_AUTHORITATIVE_MUNICIPALITY |
| las-vegas-clark-county | MUNICIPALITY_CONFLICT | 1090 e desert inn rd | Las Vegas | HUMAN_REVIEW_REQUIRED | BLOCKED_PENDING_AUTHORITATIVE_MUNICIPALITY |
| las-vegas-clark-county | MUNICIPALITY_CONFLICT | 1100 grier dr | Las Vegas | HUMAN_REVIEW_REQUIRED | BLOCKED_PENDING_AUTHORITATIVE_MUNICIPALITY |
| las-vegas-clark-county | AUTO_PROMOTABLE_INTERNAL | 1180 n town center dr | Las Vegas | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_RECONCILE_QA | 135 w magnolia blvd | Burbank | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| los-angeles-independent-cities | AUTO_PROMOTABLE_INTERNAL | 2340 n hollywood way | Burbank | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_PROMOTABLE_INTERNAL | 2717 w olive ave | Burbank | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_RECONCILE_QA | 300 e magnolia blvd | Burbank | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| los-angeles-independent-cities | AUTO_PROMOTABLE_INTERNAL | 303 n glenoaks blvd | Burbank | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_RECONCILE_QA | 333 n glenoaks blvd | Burbank | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| los-angeles-independent-cities | AUTO_PROMOTABLE_INTERNAL | 4100 w alameda ave | Burbank | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_PROMOTABLE_INTERNAL | 4450 w lakeside dr | Burbank | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| los-angeles-independent-cities | AUTO_RECONCILE_QA | 17813 s main st | Carson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| los-angeles-independent-cities | AUTO_RECONCILE_QA | 460 e carson plz dr | Carson | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| miami-doral-medley | AUTO_PROMOTABLE_INTERNAL | 1 alhambra plz | Coral Gables | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| miami-doral-medley | AUTO_RECONCILE_QA | 2151 le jeune rd | Coral Gables | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| miami-doral-medley | AUTO_PROMOTABLE_INTERNAL | 2222 ponce de leon blvd | Coral Gables | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| miami-doral-medley | AUTO_PROMOTABLE_INTERNAL | 2332 galiano st | Coral Gables | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| miami-doral-medley | AUTO_PROMOTABLE_INTERNAL | 255 giralda ave | Coral Gables | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| miami-doral-medley | AUTO_RECONCILE_QA | 2600 douglas rd | Coral Gables | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| miami-doral-medley | AUTO_RECONCILE_QA | 800 douglas rd | Coral Gables | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| miami-doral-medley | AUTO_RECONCILE_QA | 1111 brickell ave | Miami | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| miami-doral-medley | AUTO_PROMOTABLE_INTERNAL | 1111 lincoln rd | Miami | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| miami-doral-medley | AUTO_RECONCILE_QA | 1815 ne 123rd st | Miami | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_RECONCILE_QA | 100 winners cir n | Brentwood | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_RECONCILE_QA | 105 w park dr | Brentwood | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_RECONCILE_QA | 109 westpark dr | Brentwood | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_RECONCILE_QA | 155 franklin rd | Brentwood | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_RECONCILE_QA | 310 seven springs way | Brentwood | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| nashville | AUTO_PROMOTABLE_INTERNAL | 320 seven springs way | Brentwood | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| nashville | AUTO_PROMOTABLE_INTERNAL | 9005 overlook blvd | Brentwood | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| nashville | AUTO_PROMOTABLE_INTERNAL | 2550 meridian blvd | Franklin | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| nashville | AUTO_PROMOTABLE_INTERNAL | 3401 mallory ln | Franklin | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| nashville | AUTO_PROMOTABLE_INTERNAL | 725 cool springs blvd | Franklin | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_PROMOTABLE_INTERNAL | 1350 dell ave | Campbell | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_PROMOTABLE_INTERNAL | 1677 1725 bascom ave s | Campbell | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_PROMOTABLE_INTERNAL | 1725 bascom ave s | Campbell | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_RECONCILE_QA | 197 e hamilton ave | Campbell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| san-jose-south-bay | AUTO_PROMOTABLE_INTERNAL | 1999 s bascom ave | Campbell | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_RECONCILE_QA | 200 e hacienda ave | Campbell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| san-jose-south-bay | AUTO_PROMOTABLE_INTERNAL | 2050 s bascom ave | Campbell | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| san-jose-south-bay | AUTO_RECONCILE_QA | 747 camden ave | Campbell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| san-jose-south-bay | AUTO_RECONCILE_QA | 901 campisi way | Campbell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| san-jose-south-bay | AUTO_RECONCILE_QA | 910 e hamilton ave | Campbell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| seattle-kent-eastside | AUTO_PROMOTABLE_INTERNAL | 11900 ne 1st st | Bellevue | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| seattle-kent-eastside | AUTO_RECONCILE_QA | 13810 se eastgate way | Bellevue | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| seattle-kent-eastside | AUTO_PROMOTABLE_INTERNAL | 1400 112th ave se | Bellevue | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| seattle-kent-eastside | AUTO_RECONCILE_QA | 14200 ne 21st st | Bellevue | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| seattle-kent-eastside | AUTO_PROMOTABLE_INTERNAL | 2018 156th ave ne building f | Bellevue | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| seattle-kent-eastside | AUTO_PROMOTABLE_INTERNAL | 3120 139th ave se | Bellevue | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| seattle-kent-eastside | AUTO_PROMOTABLE_INTERNAL | 601 108th ave ne | Bellevue | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| seattle-kent-eastside | AUTO_RECONCILE_QA | 21222 30th dr se | Bothell | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| seattle-kent-eastside | AUTO_RECONCILE_QA | 1605 nw sammamish rd | Issaquah | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| seattle-kent-eastside | AUTO_RECONCILE_QA | 22012 68th ave s | Kent | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
