Missing commercial-geography candidates

Repeated names are discovery signals only and never create geography.

| Market | Municipality | Name | Identities | Signal |
| los-angeles-independent-cities | santa-fe-springs | shoemaker business park | 6 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | bering zanker business park | 6 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | edenvale business park | 6 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | dearborn | gulley road industrial park | 5 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | troy | rankin business park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | fremont | bayside business park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | diablo industrial park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | fremont | fountains business park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | mt eden business park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | north hayward corporate center | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | stratford business park | 5 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | winton industrial center | 5 | STRONG_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | ali baba commerce center | 5 | STRONG_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | arrowhead commerce center | 5 | STRONG_DISCOVERY_SIGNAL |
| las-vegas-clark-county | henderson | henderson commerce center iv phase 2 | 5 | STRONG_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | city-of-industry | concourse business park | 5 | STRONG_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | pasadena | pasadena business park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | berryessa industrial park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | mountain-view | clyde avenue business park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | lafayette business park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | milpitas 10 business park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | oak creek business park | 5 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | tripoint business park | 5 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | novi | beck north corporate park | 4 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | troy | kirts office park | 4 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | livonia | livonia corporate center | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | hayward | bay center i business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | union-city | clocktower commerce center | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | hayward | delta court industrial park building a | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | union-city | dowe business park phase i | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | fremont commerce center | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | fremont distribution center | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | newark | newark business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | oakland | oakland airport business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | richmond | pinole point business park phase ii | 4 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | richmond | pinole point commerce center | 4 | MODERATE_DISCOVERY_SIGNAL |
| las-vegas-clark-county | north-las-vegas | civic center corporate park | 4 | MODERATE_DISCOVERY_SIGNAL |
| las-vegas-clark-county | henderson | henderson commerce center | 4 | MODERATE_DISCOVERY_SIGNAL |
| las-vegas-clark-county | henderson | traverse point commerce center | 4 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | dixon landing business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | edward business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | sunnyvale | kifer commerce park | 4 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | oxford business park | 4 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | southfield | american commerce center | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | novi | beck west corporate park | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | southfield | bridge industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | troy | maple industrial subdivision | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | novi | meadowbrook corporate park | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | livonia | pinebrooke office park | 3 | MODERATE_DISCOVERY_SIGNAL |
| detroit-novi | troy | troy commerce center ii | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | union-city | central pacific business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | newark | cherry business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | union-city | clocktower commerce center a | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | san-leandro | fairway business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | foothill industrial court ii | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | fremont industrial center | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | san-leandro | marina business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | concord | mason industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | mission falls business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | warm springs business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | fremont | warren corporate center | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | union-city | whipple commerce center | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | hayward | whipple road business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| east-bay | san-leandro | wicks business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | carey industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | industrial lofts | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | bloomfield commerce center | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | commerce | commerce office park | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | painter business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | city-of-industry | stimson industrial center | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | torrance | torrance commerce centre ii koll company | 3 | MODERATE_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | town center business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | international corporate park condo | 3 | MODERATE_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | lakeside corporate park | 3 | MODERATE_DISCOVERY_SIGNAL |
| nashville | nashville | maplewood business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | ames industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | corporate technology centre | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | junction industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | little orchard business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | montague east business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | montague industrial center | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | sunnyvale | oakmead business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | cupertino | results way corporate park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | ringwood business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | sunnyvale | san aleso business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | tasman corporate center | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | town center business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | zanker charcot industrial park | 3 | MODERATE_DISCOVERY_SIGNAL |
| seattle-kent-eastside | bellevue | creekside office park | 3 | MODERATE_DISCOVERY_SIGNAL |
| seattle-kent-eastside | kirkland | totem ridge business park | 3 | MODERATE_DISCOVERY_SIGNAL |
| atlanta | atlanta | office warehouse | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | auburn-hills | auburn hills corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | dearborn | commerce park north | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | novi | novi corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | livonia | sarmor business park | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | sheffield office park | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | sheffield office park i | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | sheffield office park iii | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | sheffield office park iv | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | troy commerce center | 2 | WEAK_DISCOVERY_SIGNAL |
| detroit-novi | troy | troy trade center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | breakwater business park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | union-city | clocktower commerce center c | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | concord | concord business park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | concord | concord north commerce | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | walnut-creek | creekside oaks office park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | san-leandro | creekside plaza office park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | cypress industrial center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | union-city | decoto industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | union-city | dowe business park phase ii | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | enterprise distribution center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | fremont | gateway corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | concord | gateway industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward 92 industrial center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward bridge business park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward commerce park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward distribution center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | union-city | koll industrial center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | fremont | northport business park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | fremont | pacific commerce center | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | san-leandro | polvorosa business park bldg b | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | fremont | timber business park | 2 | WEAK_DISCOVERY_SIGNAL |
| east-bay | oakland | westlake building oakland commerce | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | arville industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | cheyenne corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | north-las-vegas | craig corporate park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | north-las-vegas | craig losee industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | north-las-vegas | golden triangle industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | henderson | henderson commerce center iv phase 1 | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | industrial commonwealth | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | m zoned strip mall with hvac warehouse | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | marnell corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | mccarran sunset business park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | patrick business park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | pecos industrial center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | post commerce center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | procyon west distribution center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | north-las-vegas | prologis nellis industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | prologis sunrise industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | rainbow corporate center south | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | silverado business park | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | henderson | sunset pointe industrial center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | valley view commerce center | 2 | WEAK_DISCOVERY_SIGNAL |
| las-vegas-clark-county | las-vegas | venture commerce center business park | 2 | WEAK_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | amb bell ranch distribution center | 2 | WEAK_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | commerce | commerce corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | heritage corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | carson | leapwood industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | el-segundo | pacific corporate towers | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | aiport west warehouse condo | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | allapattah warehouse | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | bay 1 2 low ceiling warehouse storage | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | doral commerce park | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | doral decor district showroom warehouse | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | fashion district condo | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | coral-gables | gables plaza district loft style building redevelopment | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | garden of allah industrial land | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | miami business park | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | office condo at kendallwood office park | 2 | WEAK_DISCOVERY_SIGNAL |
| miami-doral-medley | miami | the offices at mia distribution center | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | sunnyvale | caribbean corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | component industrial park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | mountain-view | cypress business park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | palo-alto | embarcadero corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | golden bay business park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | great oaks business park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | link corporate court | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | los-gatos | los gatos business park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | marriot business park | 2 | WEAK_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | montague corporate center | 2 | WEAK_DISCOVERY_SIGNAL |
